epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5563,1.21188,4.3764,1.33908,0.03126,0.69601,0.13064,0.07159,1.23286,3.82172,1.23588,0.000106545,0.000106545,0.000106545
2,50.7976,1.04226,3.4583,1.21313,0.40859,0.41723,0.39571,0.25356,1.25034,2.21661,1.22611,0.000193005,0.000193005,0.000193005
3,76.8725,1.05883,2.6381,1.24729,0.64608,0.61785,0.669,0.36669,1.5489,1.67876,1.41919,0.000258147,0.000258147,0.000258147
4,103.411,1.04212,2.07591,1.23763,0.77496,0.68859,0.78313,0.4526,1.52319,1.40448,1.32367,0.000227069,0.000227069,0.000227069
5,129.656,1.00086,1.74465,1.19906,0.78871,0.7103,0.81735,0.4977,1.37729,1.2195,1.2843,0.000195092,0.000195092,0.000195092
6,156.314,0.9819,1.5733,1.17941,0.82644,0.81053,0.8735,0.52776,1.49292,1.12583,1.31944,0.000163115,0.000163115,0.000163115
7,183.184,0.93166,1.37004,1.14947,0.81846,0.86717,0.88185,0.55163,1.39226,1.00581,1.26464,0.000131138,0.000131138,0.000131138
8,209.521,0.92488,1.28686,1.12561,0.8195,0.87042,0.89789,0.57504,1.32941,0.9478,1.22668,9.9161e-05,9.9161e-05,9.9161e-05
9,235.542,0.87778,1.22681,1.10199,0.83923,0.86588,0.90414,0.53766,1.49801,0.96763,1.32953,6.7184e-05,6.7184e-05,6.7184e-05
10,261.578,0.86373,1.18039,1.10488,0.8481,0.88785,0.91641,0.57258,1.39134,0.90328,1.25267,3.5207e-05,3.5207e-05,3.5207e-05
1,25.455,1.21188,4.3764,1.33908,0.03126,0.69601,0.13064,0.07159,1.23286,3.82172,1.23588,0.000106545,0.000106545,0.000106545
2,50.4859,1.04226,3.4583,1.21313,0.40859,0.41723,0.39571,0.25356,1.25034,2.21661,1.22611,0.000193005,0.000193005,0.000193005
3,75.179,1.05883,2.6381,1.24729,0.64608,0.61785,0.669,0.36669,1.5489,1.67876,1.41919,0.000258147,0.000258147,0.000258147
4,99.7535,1.04212,2.07591,1.23763,0.77496,0.68859,0.78313,0.4526,1.52319,1.40448,1.32367,0.000227069,0.000227069,0.000227069
5,124.315,1.00086,1.74465,1.19906,0.78871,0.7103,0.81735,0.4977,1.37729,1.2195,1.2843,0.000195092,0.000195092,0.000195092
6,149.002,0.9819,1.5733,1.17941,0.82644,0.81053,0.8735,0.52776,1.49292,1.12583,1.31944,0.000163115,0.000163115,0.000163115
7,173.708,0.93166,1.37004,1.14947,0.81846,0.86717,0.88185,0.55163,1.39226,1.00581,1.26464,0.000131138,0.000131138,0.000131138
8,198.698,0.92488,1.28686,1.12561,0.8195,0.87042,0.89789,0.57504,1.32941,0.9478,1.22668,9.9161e-05,9.9161e-05,9.9161e-05
9,223.62,0.87778,1.22681,1.10199,0.83923,0.86588,0.90414,0.53766,1.49801,0.96763,1.32953,6.7184e-05,6.7184e-05,6.7184e-05
10,248.459,0.86373,1.18039,1.10488,0.8481,0.88785,0.91641,0.57258,1.39134,0.90328,1.25267,3.5207e-05,3.5207e-05,3.5207e-05
1,25.57,1.21188,4.3764,1.33908,0.03126,0.69601,0.13064,0.07159,1.23286,3.82172,1.23588,0.000106545,0.000106545,0.000106545
2,50.4249,1.04226,3.4583,1.21313,0.40859,0.41723,0.39571,0.25356,1.25034,2.21661,1.22611,0.000193005,0.000193005,0.000193005
3,75.1183,1.05883,2.6381,1.24729,0.64608,0.61785,0.669,0.36669,1.5489,1.67876,1.41919,0.000258147,0.000258147,0.000258147
1,25.6341,1.21188,4.3764,1.33908,0.03126,0.69601,0.13064,0.07159,1.23286,3.82172,1.23588,0.000106545,0.000106545,0.000106545
2,50.4805,1.04226,3.4583,1.21313,0.40859,0.41723,0.39571,0.25356,1.25034,2.21661,1.22611,0.000193005,0.000193005,0.000193005
3,75.0855,1.05883,2.6381,1.24729,0.64608,0.61785,0.669,0.36669,1.5489,1.67876,1.41919,0.000258147,0.000258147,0.000258147
4,99.5921,1.04212,2.07591,1.23763,0.77496,0.68859,0.78313,0.4526,1.52319,1.40448,1.32367,0.000227069,0.000227069,0.000227069
5,124.619,1.00086,1.74465,1.19906,0.78871,0.7103,0.81735,0.4977,1.37729,1.2195,1.2843,0.000195092,0.000195092,0.000195092
6,149.966,0.9819,1.5733,1.17941,0.82644,0.81053,0.8735,0.52776,1.49292,1.12583,1.31944,0.000163115,0.000163115,0.000163115
